id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_log,effective_year,sale_year,house_age,living_to_lot_ratio,lat_long_interaction,dist_to_center,geo_cluster
9117000170,2015-05-05,268643,4,2.25,1810,9240,2.0,0,0,3,7,1810,0,1961,0,98055,47.4362,-122.187,1660,9240,12.501142362015882,1961,2015,54,0.1958874458874459,-5796.0869694,0.12744934764159493,2
6700390210,2014-07-08,245000,3,2.5,1600,2788,2.0,0,0,4,7,1600,0,1992,0,98031,47.4034,-122.187,1720,3605,12.409017571151187,1992,2014,22,0.5738880918220947,-5792.0792358,0.15965117457390604,2
7212660540,2015-01-15,200000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,1994,0,98003,47.2704,-122.313,1870,7455,12.206077645517674,1994,2015,21,0.19912016670525584,-5781.7844352,0.30671126889855244,4
8562780200,2015-04-27,352499,2,2.25,1240,705,2.0,0,0,3,7,1150,90,2009,0,98027,47.5321,-122.073,1240,750,12.772805901234461,2009,2015,6,1.7588652482269505,-5802.3860433,0.1439870300804319,0
7760400350,2014-12-05,232000,3,2.0,1280,13356,1.0,0,0,3,7,1280,0,1994,0,98042,47.3715,-122.074,1590,8071,12.354496960983985,1994,2014,20,0.09583707696915245,-5782.828490999999,0.23545723303791657,2
464001025,2014-09-18,722500,4,3.5,2600,5100,2.0,0,0,3,8,1820,780,2003,0,98117,47.6948,-122.395,2000,6720,13.490474083050811,2003,2014,11,0.5098039215686274,-5837.605046,0.2251550339810227,3
3432500486,2014-06-23,299995,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,1951,0,98155,47.7463,-122.315,1850,8291,12.611524420216115,1951,2014,63,0.14722222222222223,-5840.0886844999995,0.21121990394342952,3
1126059095,2014-05-26,880000,3,2.0,2130,35169,1.0,0,0,4,8,2130,0,1989,0,98072,47.7489,-122.123,2860,43560,13.68767832281738,1989,2014,25,0.060564701868122496,-5831.2389147,0.20906547740449297,0
3876500290,2015-03-05,175000,3,1.0,1070,6164,1.0,0,0,3,7,1070,0,1967,0,98001,47.3377,-122.291,1320,7920,12.07254696717504,1967,2015,48,0.17358857884490592,-5788.9746706999995,0.2359136826387449,4
1865400075,2014-05-22,320000,3,2.25,998,844,2.0,0,0,3,7,798,200,2007,0,98117,47.6983,-122.367,998,1110,12.676079399771027,2007,2014,7,1.1824644549763033,-5836.697876100001,0.2056690465274592,3
2558690150,2014-07-07,475000,5,2.5,2510,8050,1.0,0,0,4,7,1490,1020,1977,0,98034,47.7212,-122.172,1840,8471,13.07107218827772,1977,2014,37,0.31180124223602484,-5830.1944464,0.16590132246630504,3
7154200070,2014-11-24,995000,5,3.25,3970,8029,2.0,0,2,3,9,2970,1000,1979,0,98177,47.7764,-122.385,2520,8214,13.81049902116535,1979,2014,35,0.4944575912317848,-5847.114714,0.27516435412383766,3
4139490210,2014-07-30,1285000,4,3.5,4080,14450,2.0,0,2,3,12,3210,870,1998,0,98006,47.5519,-122.106,4080,12114,14.06627005452127,1998,2014,16,0.2823529411764706,-5806.3723014,0.10847168103717726,0
9264901040,2014-05-16,239900,4,2.25,1860,7000,1.0,0,0,3,8,1120,740,1979,0,98023,47.3127,-122.339,1990,8937,12.3879816172226,1979,2014,35,0.26571428571428574,-5788.188405299999,0.277699800105809,4
4273000095,2015-05-11,340000,4,1.75,1400,8374,1.0,0,0,3,7,1400,0,1953,0,98166,47.4735,-122.344,1420,8360,12.73670383776449,1953,2015,62,0.16718414139001672,-5808.097884,0.15646246943733658,1
8691410310,2015-02-13,680000,4,2.5,3290,6012,2.0,0,0,3,9,3290,0,2005,0,98075,47.5961,-121.98,3210,6005,13.429849547739444,2005,2015,10,0.5472388556220892,-5805.772278,0.2367679534259654,0
6601200020,2015-01-27,235245,4,2.5,1954,5075,2.0,0,0,3,8,1954,0,2007,0,98001,47.2606,-122.253,1934,5000,12.368387054114972,2007,2015,8,0.3850246305418719,-5777.7501317999995,0.3026412657099228,4
8663260030,2014-11-18,416000,3,2.5,1800,5372,2.0,0,0,3,8,1800,0,1987,0,98034,47.7188,-122.177,1650,6014,12.938442943086665,1987,2014,27,0.33507073715562175,-5830.139827600001,0.1623657878457382,3
7016300050,2014-07-23,420000,4,2.5,2030,8100,1.0,0,0,3,7,1150,880,1973,0,98034,47.7404,-122.186,1770,8071,12.948012371209098,1973,2014,41,0.2506172839506173,-5833.2085144,0.18185358169656032,3
7968460240,2015-02-11,257000,3,1.75,1330,36537,1.0,0,0,4,7,1330,0,1989,0,98092,47.3126,-122.129,1650,35100,12.456835254920371,1989,2015,26,0.036401456058242326,-5778.2405254000005,0.26232350914419955,2
4046500270,2014-08-19,399000,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,2010,0,98014,47.6907,-121.917,1860,18452,12.896719202134523,2010,2014,4,0.06656101426307448,-5814.3070719,0.3242943631156044,0
7849202296,2015-01-30,339900,3,2.5,1470,4675,2.0,0,0,3,7,1470,0,1999,0,98065,47.5261,-121.827,1500,4385,12.736409677721657,1999,2015,16,0.3144385026737968,-5789.9621847,0.38865757234419535,0
8585400135,2014-11-05,585000,4,1.75,1760,5356,1.0,0,0,4,7,920,840,1950,0,98115,47.679,-122.288,1680,5184,13.279368835614243,1950,2014,64,0.3286034353995519,-5830.569552,0.13945160870065226,3
6163900411,2014-10-03,310000,2,1.0,1050,8220,1.0,0,0,4,6,780,270,1947,0,98155,47.7598,-122.316,1340,7651,12.644330802262578,1947,2014,67,0.12773722627737227,-5841.7876968,0.22362737248286255,3
2558640110,2014-05-14,498000,4,2.75,2270,7375,1.0,0,0,4,7,1290,980,1973,0,98034,47.7222,-122.168,1750,7760,13.118357364036902,1973,2014,41,0.3077966101694915,-5830.1257296,0.16792282776140585,3
9834200885,2014-07-17,360000,4,2.5,2080,4080,1.0,0,0,5,7,1040,1040,1962,0,98144,47.572,-122.29,1340,4080,12.793862088206213,1962,2014,52,0.5098039215686274,-5817.57988,0.07672043649441262,1
3876600120,2015-04-22,265000,3,1.5,1780,10196,1.0,0,0,4,7,1270,510,1967,0,98001,47.3375,-122.291,1320,7875,12.487488878546145,1967,2015,48,0.17457826598666143,-5788.9502125,0.23610277124825213,4
8691330260,2014-12-08,820000,4,2.75,3540,13515,2.0,0,0,3,10,3540,0,1998,0,98075,47.5945,-121.982,3540,11538,13.617060838751888,1998,2014,16,0.2619311875693674,-5805.672299,0.23455490032821458,0
5416500980,2014-07-29,419900,4,2.5,2750,5767,2.0,0,0,3,9,2750,0,2005,0,98038,47.3595,-122.038,2800,5376,12.947774248188859,2005,2014,9,0.47685104907230796,-5779.6586609999995,0.2674129995782228,2
809002610,2014-07-18,485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,1909,0,98109,47.6368,-122.355,1890,3000,13.091906231773164,1909,2014,105,0.44921875,-5828.6006640000005,0.16011202352251205,3
1778500595,2015-04-13,683000,5,1.5,1720,4000,1.5,0,0,3,7,1520,200,1925,0,98112,47.6197,-122.287,2280,4000,13.434251602680698,1925,2015,90,0.43,-5823.2702539,0.093754569843338,3
1220000367,2014-07-16,320000,3,2.5,1820,1855,2.0,0,0,3,8,1570,250,2008,0,98166,47.4643,-122.346,1470,6900,12.676079399771027,2008,2014,6,0.9811320754716981,-5807.067247800001,0.16338229208894578,1
7504020670,2014-05-20,598000,5,2.25,2890,12478,2.0,0,0,3,9,2890,0,1977,0,98074,47.6295,-122.052,2570,11880,13.301347705172173,1977,2014,37,0.23160762942779292,-5813.275734000001,0.1760940893973978,0
3630110370,2014-06-24,420000,3,2.5,2140,3821,2.0,0,0,3,8,2140,0,2005,0,98029,47.5541,-121.995,2860,3841,12.948012371209098,2005,2014,9,0.5600628107825176,-5801.3624295,0.21921185015295203,0
2490200620,2014-08-11,535000,3,1.0,1660,5100,1.0,0,0,3,7,1260,400,1957,0,98136,47.5323,-122.383,1230,5100,13.190023895035274,1957,2014,57,0.3254901960784314,-5817.1454709,0.17126507187318152,1
1775801340,2014-06-06,415000,3,1.75,1910,12596,1.0,0,0,3,7,1340,570,1977,0,98072,47.7399,-122.099,1550,13310,12.936036208848487,1977,2014,37,0.15163543982216576,-5828.9940501,0.2129594038450825,0
1683600240,2015-03-20,234975,3,1.75,1650,8073,1.0,0,0,3,7,1100,550,1980,0,98092,47.3187,-122.182,1280,8073,12.367238660251337,1980,2015,35,0.20438498699368265,-5781.4934034,0.24415323147205387,2
1180002378,2014-09-26,299000,4,2.5,1950,3000,2.0,0,0,3,7,1950,0,2002,0,98178,47.4977,-122.226,1170,6000,12.608202196848836,2002,2014,12,0.65,-5805.4538802,0.06414368319644281,1
7955050170,2015-04-10,455000,3,2.25,1790,7500,1.0,0,0,3,7,1390,400,1973,0,98034,47.7321,-122.198,1940,7192,13.02805489573287,1973,2015,42,0.23866666666666667,-5832.7671558,0.17212337461705107,3
7518507580,2015-05-02,581000,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,1909,0,98117,47.6784,-122.386,1560,4586,13.272507757002963,1909,2015,106,0.2867647058823529,-5835.1686624,0.2083058734306585,3
1441600020,2014-05-27,960000,5,4.0,3720,15200,2.0,0,0,3,10,3720,0,2005,0,98075,47.5956,-122.026,4100,19036,13.774689605110144,2005,2014,9,0.24473684210526317,-5807.9006856,0.1913156777271184,0
5101408599,2014-06-11,465000,4,1.75,1470,5350,1.0,0,0,3,7,980,490,1955,0,98125,47.7048,-122.315,1970,6138,13.049794835104816,1955,2014,59,0.27476635514018694,-5835.0126119999995,0.1758805896621242,3
1370803940,2014-10-07,485000,3,1.0,1130,5758,1.0,0,0,3,7,960,170,1939,0,98199,47.6413,-122.401,1510,6000,13.091906231773164,1939,2014,75,0.19624869746439735,-5831.3427613,0.20351526104417425,3
3342700371,2014-06-09,539950,3,2.25,2190,7149,1.0,0,1,4,8,1240,950,1963,0,98056,47.5243,-122.204,3500,7149,13.199233673682526,1963,2014,51,0.3063365505665128,-5807.6595572,0.03780949006695214,1
3668000070,2015-01-05,212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,12.264346270624157,1986,2015,29,0.1346031746031746,-5774.8701672,0.2913304057134562,2
8562720390,2014-08-25,1050000,4,4.0,4320,8709,2.0,0,0,3,11,3190,1130,2006,0,98027,47.5369,-122.07,4010,8321,13.864301674514206,2006,2014,8,0.496038580778505,-5802.829383,0.1460688309138379,0
9835801000,2014-06-25,245700,3,2.25,1640,8400,1.0,0,0,3,8,1180,460,1968,0,98032,47.3733,-122.289,1600,8120,12.411870628505058,1968,2014,46,0.19523809523809524,-5793.2334837,0.20183946397961175,4
8856890020,2015-02-24,265000,3,1.75,1680,9769,1.0,0,0,3,8,1340,340,1989,0,98058,47.4631,-122.126,1730,9686,12.487488878546145,1989,2015,26,0.17197256628109325,-5796.4785506,0.13151315100096464,2
9324800025,2014-11-25,325500,3,1.5,1540,8110,1.0,0,0,4,7,1190,350,1959,0,98125,47.7329,-122.291,1290,8110,12.693120812822663,1959,2014,55,0.18988902589395806,-5837.3040739,0.18855648022282961,3
